시도,자치구,동,설명,가격,이미지수
서울특별시,강남구,개포동,조용한 주택가의 리모델링한 풀옵션 가성비 최강의 깨끗한 2층 원룸,"전세 1억 1,000만원",1
서울특별시,강남구,개포동,개포4동 다가구29㎡월세  풀옵션 원룸  아주깔끔하고 저렴한 임대,"월세 1,000만원 /  70만원",9
서울특별시,강남구,개포동,"포이사거리 인근 신축급 내부공간 넓고 주차 가능 풀옵션 원룸,즉시입주가","월세 1,000만원 /  80만원",5
서울특별시,강남구,개포동,수리잘된분형원룸 반지하이지만넓고 나름대로밝음 교통위치좋고 LH대출가능,"전세 1억 2,000만원",0
서울특별시,강남구,개포동,"반전세가,분리형 풀옵션 원룸","전세 1억 7,000만원",5
서울특별시,강남구,개포동,시세대비 저렴한 귀한 분리형 원룸,"월세 1,000만원 /  55만원",3
서울특별시,강남구,논현동,조용한 주택가의 리모델링한 풀옵션 가성비 최강의 깨끗한 2층 원룸,"전세 1억 1,000만원",1
서울특별시,강남구,논현동,개포4동 다가구29㎡월세  풀옵션 원룸  아주깔끔하고 저렴한 임대,"월세 1,000만원 /  70만원",9
서울특별시,강남구,논현동,"포이사거리 인근 신축급 내부공간 넓고 주차 가능 풀옵션 원룸,즉시입주가","월세 1,000만원 /  80만원",5
서울특별시,강남구,논현동,수리잘된분형원룸 반지하이지만넓고 나름대로밝음 교통위치좋고 LH대출가능,"전세 1억 2,000만원",0
서울특별시,강남구,논현동,"반전세가,분리형 풀옵션 원룸","전세 1억 7,000만원",5
서울특별시,강남구,논현동,시세대비 저렴한 귀한 분리형 원룸,"월세 1,000만원 /  55만원",3
서울특별시,강남구,대치동,조용한 주택가의 리모델링한 풀옵션 가성비 최강의 깨끗한 2층 원룸,"전세 1억 1,000만원",1
서울특별시,강남구,대치동,개포4동 다가구29㎡월세  풀옵션 원룸  아주깔끔하고 저렴한 임대,"월세 1,000만원 /  70만원",9
서울특별시,강남구,대치동,"포이사거리 인근 신축급 내부공간 넓고 주차 가능 풀옵션 원룸,즉시입주가","월세 1,000만원 /  80만원",5
서울특별시,강남구,대치동,수리잘된분형원룸 반지하이지만넓고 나름대로밝음 교통위치좋고 LH대출가능,"전세 1억 2,000만원",0
서울특별시,강남구,대치동,"반전세가,분리형 풀옵션 원룸","전세 1억 7,000만원",5
서울특별시,강남구,대치동,시세대비 저렴한 귀한 분리형 원룸,"월세 1,000만원 /  55만원",3
서울특별시,강남구,도곡동,조용한 주택가의 리모델링한 풀옵션 가성비 최강의 깨끗한 2층 원룸,"전세 1억 1,000만원",1
서울특별시,강남구,도곡동,개포4동 다가구29㎡월세  풀옵션 원룸  아주깔끔하고 저렴한 임대,"월세 1,000만원 /  70만원",9
서울특별시,강남구,도곡동,"포이사거리 인근 신축급 내부공간 넓고 주차 가능 풀옵션 원룸,즉시입주가","월세 1,000만원 /  80만원",5
서울특별시,강남구,도곡동,수리잘된분형원룸 반지하이지만넓고 나름대로밝음 교통위치좋고 LH대출가능,"전세 1억 2,000만원",0
